ID,Product Name,Category,Discount %,Promotion Text,Images (JSON)
product-321,Bào Carbide KF/KM (Bào mịn đầu vót hình trụ) - Silver - Sắc hơn Purple,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-322,Bào Carbide KF/KM (Bào mịn đầu vót hình trụ) - Silver - Sắc hơn Purple,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-327,Bào Carbide KF/KM Round (Bào mịn đầu tròn)) - Purple - Bền hơn Silver,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-328,Bào Carbide KF/KM Round (Bào mịn đầu tròn)) - Purple - Bền hơn Silver,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-325,Bào Carbide KF/KM Round (Bào mịn đầu tròn)) - Silver - Sắc hơn Purple,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-326,Bào Carbide KF/KM Round (Bào mịn đầu tròn)) - Silver - Sắc hơn Purple,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-331,Bào Carbide Round Top X4 (XC) / X5 (2XC) / X6 (4XC) - Purple - Bền hơn Silver,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-332,Bào Carbide Round Top X4 (XC) / X5 (2XC) / X6 (4XC) - Purple - Bền hơn Silver,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-329,Bào Carbide Round Top X4 (XC) / X5 (2XC) / X6 (4XC) - Silver - Sắc hơn Purple,DRILL BIT,20,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
product-330,Bào Carbide Round Top X4 (XC) / X5 (2XC) / X6 (4XC) - Silver - Sắc hơn Purple,DRILL BIT,30,Áp dụng từ ngày 16/11 đến hết ngày 30/11,"{""topLeft"": ""/vllondon-logo.jpeg"", ""topRight"": ""/vllondon-logo.jpeg"", ""bottomLeft"": ""/vllondon-logo.jpeg""}"
