CATEGORIES,Product Name,Packing Size,Org Price,Sale Price,10% TOTAL BILL,CANH CUT SALE,Thi,Thanh,PER UNIT FINAL,,
TOP & BASE,BS Gel Base 240ml,Lẻ,£60.00,£40.00,£36.00,MUA 2 TẶNG 1 - TẶNG 2 VỎ ( CHAI TẶNG K TẶNG VỎ ),TRUE,FALSE,£36.00,,
TOP & BASE,BS Gel Base Express 480ml,Lẻ,£80.00,£80.00,£72.00,LẺ 1 CHAI KO GIẢM,FALSE,FALSE,,,
TOP & BASE,BS Gel Base Express 480ml,Lẻ,£80.00,£48.00,£43.20,MUA 2 TẶNG 1 VÀ GIẢM 10% - TẶNG 8 VỎ ( CHAI TẶNG K TẶNG VỎ ),TRUE,FALSE,,,
TOP & BASE,BS Gel Top Durashine/Sunshield 480ml,Lẻ,£80.00,£48.00,£43.20,MUA 2 TẶNG 1 VÀ GIẢM 10% - TẶNG 8 VỎ ( CHAI TẶNG K TẶNG VỎ ),TRUE,FALSE,,,
TOP & BASE,BS Gel Top Original 480ML,Lẻ,£70.00,£42.00,£37.80,MUA 2 TẶNG 1 VÀ GIẢM 10% - TẶNG 8 VỎ ( CHAI TẶNG K TẶNG VỎ ),TRUE,FALSE,,,
TOP & BASE,BS Revive Base / Revive Base HF / Durabase HF 15ml,Lẻ,£8.00,£8.00,£7.20,SL <12 CHAI,FALSE,FALSE,,,
TOP & BASE,BS Revive Base / Revive Base HF / Durabase HF 15ml,Lẻ,£8.00,£7.20,£6.48,SL >=12 CHAI - GIẢM 10%,TRUE,FALSE,,,
TOP & BASE,BS Revive Base 240ml,Lẻ,£80.00,£48.00,£43.20,OFF 10% VÀ MUA 2 TẶNG 1 - TẶNG 2 VỎ ( CHAI TẶNG K TẶNG VỎ ),TRUE,FALSE,£43.20,,
TOP & BASE,MB Gel Top 480ml,480ml,£75.00,£45.00,£40.50,LẺ OFF 10% & MUA 2 TẶNG 1- TẶNG 2 CHAI TOP 15ML,TRUE,FALSE,£40.50,,
NAIL TIP,Tip Thẳng Straight Tip - NATURAL,Pack 10,£4.00,£3.60,£3.24,SL >=10 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thẳng Straight Tip - NATURAL,Set box (0-10-50pcs),£10.00,£9.00,£8.10,GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thẳng Straight Tip - NATURAL,Pack 100,£35.00,£31.50,£28.35,SL>=5 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thẳng Straight Tip - NATURAL,Case 0-10,£320.00,£272.00,£244.80,OFF 15% TỪ GIÁ ORIGINAL,TRUE,FALSE,,,
NAIL TIP,Tip Thường Curve Tip - NATURAL,Pack 10,£3.50,£3.15,£2.84,SL >=10 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thường Curve Tip - NATURAL,Pack 100,£30.00,£27.00,£24.30,SL>=5 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thường Curve Tip - NATURAL,Case 0-10,£280.00,£224.00,£201.60,OFF 20% TỪ GIÁ ORIGINAL,TRUE,FALSE,,,
NAIL TIP,Tip Nhọn Stilletto - NATURAL,Pack 10,£4.00,£3.60,£3.24,SL >=10 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Nhọn Stilletto - NATURAL,Set box (0-10-50pcs),£10.00,£9.00,£8.10,OFF 10%,TRUE,FALSE,,,
NAIL TIP,Tip Nhọn Stilletto - NATURAL,Pack 100,£35.00,£31.50,£28.35,SL>=5 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Nhọn Stilletto - NATURAL,Case 0-10,£320.00,£272.00,£244.80,OFF 15% TỪ GIÁ ORIGINAL,TRUE,FALSE,,,
NAIL TIP,Tip Thẳng Coffin - NATURAL,Pack 10,£4.00,£3.60,£3.24,SL >=10 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thẳng Coffin - NATURAL,Set box (0-10-50pcs),£10.00,£9.00,£8.10,OFF 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thẳng Coffin - NATURAL,Pack 100,£35.00,£31.50,£28.35,SL>=5 GIẢM 10%,TRUE,FALSE,,,
NAIL TIP,Tip Thẳng Coffin - NATURAL,Case 0-10,£320.00,£272.00,£244.80,OFF 15% TỪ GIÁ ORIGINAL,TRUE,FALSE,,,
NAIL TIP,Tip Gel Straight - CLEAR,Tip Gel Straight - CLEAR,£6.00,£4.80,£4.32,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Straight - CLEAR,Box 550 pcs,£12.00,£9.60,£8.64,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Straight - CLEAR,Pack 100,£50.00,£40.00,£36.00,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Stilletto - CLEAR,Pack 10,£6.00,£4.80,£4.32,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Stilletto - CLEAR,Box 550 pcs,£12.00,£9.60,£8.64,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Stilletto - CLEAR,Pack 100,£50.00,£40.00,£36.00,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Long - CLEAR,Pack 10,£7.00,£5.60,£5.04,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Long - CLEAR,Box 550 pcs,£15.00,£12.00,£10.80,OFF 20%,TRUE,FALSE,,,
NAIL TIP,Tip Gel Long - CLEAR,Pack 100,£60.00,£48.00,£43.20,OFF 20%,TRUE,FALSE,,,
ACRYLIC LIQUID,BS Liquid Purple/Clear - LIQUID THƯỜNG,Gal,£60.00,£60.00,,,FALSE,FALSE,,,
ACRYLIC LIQUID,BS Liquid Purple/Clear - LIQUID THƯỜNG,Case,£180.00,£162.00,£145.80,OFF 10%,TRUE,FALSE,,,
ACRYLIC LIQUID,BS Liquid Purple/Clear - LIQUID THƯỜNG,Case,£180.00,£153.00,£137.70,OFF 15% SL>=2,TRUE,FALSE,,,
ACRYLIC LIQUID,BS Liquid EMA Purple - LIQUID CHẢY,16fl/480ml,£18.00,£18.00,,,FALSE,FALSE,,,
ACRYLIC LIQUID,BS Liquid EMA Purple - LIQUID CHẢY,Gal,£90.00,£90.00,,,FALSE,FALSE,,,
ACRYLIC LIQUID,BS Liquid EMA Purple - LIQUID CHẢY,Case,£320.00,£288.00,£259.20,OFF 10%,TRUE,FALSE,,,
ACRYLIC LIQUID,BS Liquid EMA Purple - LIQUID CHẢY,Case,£320.00,£272.00,£244.80,OFF 15% MUA TRÊN 2,TRUE,FALSE,,,
ACRYLIC LIQUID,BS Liquid Coffee Purple/Clear - LIQUID THƯỜNG MÙI COFFEE,Gal,£60.00,£60.00,,,FALSE,FALSE,,,
ACRYLIC LIQUID,BS Liquid Coffee Purple/Clear - LIQUID THƯỜNG MÙI COFFEE,Case,£180.00,£162.00,,OFF 10%,TRUE,FALSE,,,
ACRYLIC LIQUID,BS Liquid Coffee Purple/Clear - LIQUID THƯỜNG MÙI COFFEE,Case,£180.00,£153.00,,OFF 15% MUA TRÊN 2,TRUE,FALSE,,,
,BS Liquid Winter / 4 Mùa,,,,,OFF 10%,FALSE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Standard 14 - LÔNG CỨNG,,£40.00,£36.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Standard 14 - LÔNG CỨNG,,£40.00,£32.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Standard 16 - LÔNG CỨNG,,£45.00,£40.50,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Standard 16 - LÔNG CỨNG,,£45.00,£36.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Standard 18 - LÔNG CỨNG,,£50.00,£45.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Standard 18 - LÔNG CỨNG,,£50.00,£40.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 8 - LÔNG MỀM,CÁN TRÒN,£30.00,£27.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 8 - LÔNG MỀM,CÁN TRÒN,£30.00,£24.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 10 - LÔNG MỀM,CÁN TRÒN,£35.00,£31.50,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 10 - LÔNG MỀM,CÁN TRÒN,£35.00,£28.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 12 - LÔNG MỀM,CÁN TRÒN + NHỌN,£40.00,£36.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 12 - LÔNG MỀM,CÁN TRÒN + NHỌN,£40.00,£32.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 14 - LÔNG MỀM,CÁN TRÒN + NHỌN,£45.00,£40.50,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 14 - LÔNG MỀM,CÁN TRÒN + NHỌN,£45.00,£36.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 16 - LÔNG MỀM,CÁN TRÒN + NHỌN,£50.00,£45.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 16 - LÔNG MỀM,CÁN TRÒN + NHỌN,£50.00,£40.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 18 - LÔNG MỀM,CÁN TRÒN + NHỌN,£55.00,£49.50,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 18 - LÔNG MỀM,CÁN TRÒN + NHỌN,£55.00,£44.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 20 - LÔNG MỀM,CÁN TRÒN + NHỌN,£60.00,£54.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Plus 20 - LÔNG MỀM,CÁN TRÒN + NHỌN,£60.00,£48.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Pro 14 - LÔNG DÀY HƠN PlUS,,£45.00,£40.50,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Pro 14 - LÔNG DÀY HƠN PlUS,,£45.00,£36.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Pro 16 - LÔNG DÀY HƠN PLUS,,£50.00,£45.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Pro 16 - LÔNG DÀY HƠN PLUS,,£50.00,£40.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Pro 18 - LÔNG DÀY HƠN PLUS,,£55.00,£49.50,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Pro 18 - LÔNG DÀY HƠN PLUS,,£55.00,£44.00,,MUA >=5 OFF 20% MIX & MATCH,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Premium Pro 20- LÔNG DÀY HƠN PLUS,,£60.00,£54.00,,MUA <5 OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush French,Size 12,£10.00,£9.00,,OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush French,Size 14,£12.00,£10.80,,OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush French,Size 16,£14.00,£12.60,,OFF 10%,TRUE,FALSE,,,
ACRYLIC BRUSHES,BS Brush Gel,Size 6,£10.00,£9.00,,OFF 10%,TRUE,FALSE,,,
